Date,Open,High,Low,Close,AdjClose,Volume,Split
2024-07-01,1562.53,1579.4,1555.68,1560.15,1541.56,7724306,train
2024-07-02,1569.5,1573.5,1557.0,1565.18,1546.53,7749246,train
2024-07-03,1566.32,1575.0,1542.78,1552.43,1533.93,9049620,train
2024-07-04,1557.0,1567.5,1550.8,1554.03,1535.51,6837176,train
2024-07-05,1553.82,1598.5,1548.0,1588.62,1569.7,12269710,train
2024-07-08,1589.0,1608.8,1582.53,1600.9,1581.82,9500806,train
2024-07-09,1597.6,1600.5,1580.5,1590.28,1571.33,6960002,train
2024-07-10,1595.0,1597.5,1563.15,1584.22,1565.35,7134578,train
2024-07-11,1587.5,1604.25,1570.5,1580.65,1561.82,11940946,train
2024-07-12,1584.5,1605.15,1574.5,1596.72,1577.7,12924784,train
2024-07-15,1604.45,1605.85,1585.5,1597.22,1578.19,5329688,train
2024-07-16,1593.5,1600.0,1569.12,1576.25,1557.47,9386838,train
2024-07-18,1576.0,1593.9,1557.82,1586.68,1567.77,12298374,train
2024-07-19,1586.0,1589.97,1552.8,1555.15,1536.62,13140390,train
2024-07-22,1537.25,1537.5,1499.28,1500.68,1482.79,19674376,train
2024-07-23,1501.0,1505.75,1463.0,1487.9,1470.17,18052044,train
2024-07-24,1485.0,1509.5,1476.4,1495.7,1477.88,11913362,train
2024-07-25,1481.0,1500.47,1477.07,1492.4,1474.62,12519876,train
2024-07-26,1492.4,1512.43,1490.35,1509.03,1491.04,9859940,train
2024-07-29,1511.95,1527.5,1511.78,1520.1,1501.99,7538550,train
2024-07-30,1517.03,1525.0,1510.0,1513.15,1495.12,8228208,train
2024-07-31,1504.0,1510.45,1501.15,1505.43,1487.49,10057346,train
2024-08-01,1512.0,1518.0,1504.3,1515.3,1497.24,10764222,train
2024-08-02,1505.0,1509.32,1493.28,1499.32,1481.46,10268248,train
2024-08-05,1480.0,1483.9,1433.25,1447.32,1430.08,17046704,train
2024-08-06,1455.15,1477.5,1451.32,1456.05,1438.7,10236186,train
2024-08-07,1469.0,1472.5,1461.5,1464.82,1447.37,8174568,train
2024-08-08,1457.53,1465.0,1445.93,1449.12,1431.86,12387192,train
2024-08-09,1460.0,1476.5,1456.0,1474.3,1456.73,6249776,train
2024-08-12,1470.0,1473.0,1457.75,1460.62,1443.22,8184584,train
2024-08-13,1460.75,1470.07,1458.0,1463.62,1446.19,6265064,train
2024-08-14,1463.55,1472.0,1453.7,1461.85,1444.43,6267466,train
2024-08-16,1468.65,1480.4,1458.05,1478.2,1460.59,9416902,train
2024-08-19,1482.5,1498.3,1480.5,1488.4,1475.66,13797742,train
2024-08-20,1497.22,1503.93,1490.03,1495.95,1483.14,8411808,train
2024-08-21,1493.25,1507.88,1490.0,1498.68,1485.84,7769996,train
2024-08-22,1503.0,1506.5,1490.65,1498.12,1485.3,10445782,train
2024-08-23,1503.75,1511.32,1498.43,1499.97,1487.13,9249654,train
2024-08-26,1506.97,1523.0,1503.0,1512.6,1499.65,8816114,train
2024-08-27,1510.5,1513.47,1499.45,1500.45,1487.6,6251156,train
2024-08-28,1505.0,1507.47,1493.0,1498.3,1485.47,9610286,train
2024-08-29,1503.1,1537.0,1494.0,1520.93,1507.9,38335358,train
2024-08-30,1534.0,1539.72,1503.32,1509.62,1496.7,41620730,train
2024-09-02,1510.88,1526.8,1506.62,1516.25,1503.27,11240852,train
2024-09-03,1521.25,1523.0,1507.5,1509.12,1496.2,10923800,train
2024-09-04,1500.7,1517.5,1499.5,1514.55,1501.58,11983304,train
2024-09-05,1519.05,1525.78,1487.05,1492.97,1480.19,16264168,train
2024-09-06,1492.5,1497.0,1461.62,1464.82,1452.28,19394228,train
