Ticker,Name,Sector,Date,Open,High,Low,Close,AdjClose,Volume,Split,price,logret,ret_lag1,ret_lag2,ret_lag3,ret_lag5,ret_lag10,mom5,mom10,mom20,ma_ratio5,ma_slope5,ma_ratio10,ma_slope10,ma_ratio20,ma_slope20,ma_ratio50,ma_slope50,vol5,vol10,vol20,rsi14,atr14,macd,macd_hist,bb_pos,vol_ratio,vol_chg,dow,month,target_ret,target_dir,ticker_id
MARUTI.NS,Maruti Suzuki,Automobile,2026-06-30,13744.0,14201.0,13510.0,14115.0,14115.0,1511348.0,test,14115.0,0.0510882331014705,-0.024525293013226923,0.0,0.03682852397430517,0.0022328083107755886,-0.008292162730498771,0.04936435952717266,0.03096924987217875,0.08393487943480271,0.03383871676554606,0.009822339906213624,0.04057620571192655,0.0031355844463176476,0.053873348539771326,0.004097070201217303,0.061495283245896815,0.000984628355489901,0.03291935171741924,0.023320440714252554,0.018605970560040912,67.75732787970395,0.023262992763522464,0.009825289506624571,0.0036408242438753734,1.1228834866541166,,0.11243699359336734,1,6,,0,11
TITAN.NS,Titan Company,Jewellery & Retail,2026-06-30,4277.5,4428.4,4275.0,4404.0,4404.0,1243386.0,test,4404.0,0.02921462896006912,-0.0032911274381825567,0.0,-0.007544927899680025,-0.015488106047761234,0.012642979982721096,0.02292523169117122,0.015214384508990264,0.07991466614354725,0.02003001723211484,0.0045930689797975405,0.013492521925635659,0.0015211684417470485,0.033756710381461774,0.0038396331671724073,0.03661579309111129,-0.0003562391498827226,0.014464476492672148,0.012577198822437175,0.01707676383141285,75.19844032717899,0.020512196704290105,0.00932393584745116,0.00200911877122974,0.6009505645632921,,1.1848785862267106,1,6,,0,17
LT.NS,Larsen & Toubro,Construction & Engineering,2026-06-30,4183.0,4193.8,4134.1,4143.4,4143.4,1538306.0,test,4143.4,-0.005247586843952472,-0.01221738972529319,0.0,0.008263820977083629,-0.005226305642373984,0.003973103046041981,-0.008613676604297238,-0.010271354863367055,0.03561698617810971,-0.009850356782694747,-0.0017176310051476686,-0.01137890143136977,-0.0010249345114518712,0.014041764306385707,0.0017467944789031978,0.03193268035211516,0.0005353552771517518,0.00758991565963543,0.006061025897882713,0.014896596381298111,69.53138509255845,0.018640660878914764,0.014615742199613521,0.00019800445131507458,0.2121903622682958,,-0.43171059504836884,1,6,,0,10
RELIANCE.NS,Reliance Industries,Oil & Gas / Energy,2026-06-30,1306.9,1306.9,1290.0,1293.9,1293.9,15691169.0,test,1293.9,-0.005472286190598012,-0.013058106205914645,0.0,0.003419846020256342,-0.012898509630027795,0.01654184467486306,-0.011912943871706716,-0.026264298615291892,-0.011195598181192867,-0.011490213455162213,-0.0023779400332282923,-0.016120447114287728,-0.002646766621919901,-0.005837888340973207,-0.000562496424403752,-0.03530907462587751,-0.000792209320862641,0.006949860285536074,0.008839927370656727,0.011145280447606206,60.70774862202624,0.017875084186222724,-0.005153813058357259,0.0013743935366681158,-0.16557697493773488,,0.1405408741140206,1,6,,0,13
NTPC.NS,NTPC,Power / Utilities,2026-06-30,354.75,358.35,352.9,356.65,356.65,10290789.0,test,356.65,0.001543318440314878,0.011438379318589768,0.0,-0.014102617029976741,-0.006697216312227718,0.021176091512133625,-0.02180471749862878,0.0030937983405989744,-0.02925966249319545,0.005270872089745637,-0.004461655021453864,-0.006227621661535232,0.0003065988432855241,-0.004160384207293255,-0.0014985606847335675,-0.06190654048281641,-0.0020762408229312106,0.012968754810630355,0.011812036134657403,0.011760755435837602,55.364806850319596,0.018585648194456326,-0.017537686414400778,0.002205245542479476,-0.12547333004330094,,-0.7937523456617218,1,6,,0,12
HINDUNILVR.NS,Hindustan Unilever,FMCG,2026-06-30,2151.0,2151.3,2114.2,2118.2,2118.2,2364370.0,test,2118.2,-0.015505639147070165,-0.010588470213260984,0.0,0.0075715966526602035,-0.0012953968963895022,0.02011134214609357,-0.019397250127308974,-0.02734473654000702,0.021991489033204248,-0.0171404177918838,-0.0038733175565725214,-0.021292501950992748,-0.0027439386832214634,-0.010098102259642028,0.0010661843652174684,-0.03451787746353596,-0.0015403348742441128,0.009141496300074697,0.00791235802756353,0.010989584954868613,44.05521026468328,0.0168741653964877,-0.0017181158708507369,0.0006345293484615615,-0.2797867790013045,,0.6609390564476358,1,6,,0,8
HDFCBANK.NS,HDFC Bank,Banking,2026-06-30,806.1,806.1,792.75,797.95,797.95,45766520.0,test,797.95,-0.0011898426428007646,0.0032597822245970837,0.0,0.0039006026177580704,-0.015054254390655964,0.009669329580338577,0.03007809978700071,0.03343996477277145,0.08405336376480821,0.0017827326026640389,0.00588480432393459,0.012140100129506282,0.0032858359092702337,0.04178634469360687,0.004055185124734149,0.04807250279109487,-1.5498544844372282e-05,0.01014400315795502,0.010916565693951568,0.01202482254358691,79.98482979880735,0.019317357872380966,0.015007933274225123,0.005530262885463758,0.6052255440560881,,-0.01990443416570986,1,6,,0,7
DMART.NS,Avenue Supermarts (DMart),Retail,2026-06-30,4357.9,4402.0,4312.5,4380.7,4380.7,379400.0,test,4380.7,0.005424781835215357,0.014425327584410126,0.0,-0.00959384458645019,0.01428350070313163,0.024650959684034083,-0.002777208677638865,0.04270106871682566,0.07978802070495439,0.011106546214957325,-0.0005628578414863014,0.012468943202172511,0.004163562561356,0.0405586764688417,0.0038593006522768033,0.024202383718999965,-0.0009749247668261905,0.011157794071188176,0.010981081978223395,0.014173718783076503,74.57380154299284,0.021037081484037216,0.010008225787637966,0.005737471341294049,0.6444842363424383,,-0.474668760237659,1,6,,0,6
COALINDIA.NS,Coal India,Mining (Coal),2026-06-30,445.6,446.85,437.95,439.05,439.05,4359899.0,test,439.05,-0.013123844884771804,0.021471997890329355,0.0,-0.014478962399358806,-0.010410347557769987,0.01541929990720395,-0.01192753460110274,-0.02638873489300364,-0.07010483956369795,-0.0005463361333061245,-0.002407176109906979,-0.013115749013790201,-0.002667712828554107,-0.0289297325990312,-0.003647101600970465,-0.04333482954124501,-0.00017864145353115734,0.014565064920378843,0.011170863898642995,0.013684521447793516,39.2050587073375,0.019376250671047687,-0.012973543044249419,-0.0030112884344325914,-0.5023997421682899,,-0.7962685343854344,1,6,,0,5
ULTRACEMCO.NS,UltraTech Cement,Cement,2026-06-30,11317.0,11377.0,11219.0,11253.0,11253.0,331710.0,test,11253.0,-0.007348742620519375,-0.013406553482848457,0.005148578064508498,0.010819474853611125,0.003074357904816603,0.030910666234713027,-0.013067882827574095,-0.01857666143380432,0.001869658119658224,-0.009680542110358181,-0.002615687100624663,-0.010968728576701947,-0.0018685685712029215,0.005010315355143069,9.378475059947915e-05,-0.02323304394019088,-0.0011513845225481927,0.0101575818865917,0.007620964508719335,0.011862075377772325,61.56968876802303,0.018337967018317296,-0.0012930637404316477,0.002708506255661613,0.11843209287304624,1.0167164664941917,0.4366830383825784,1,6,,0,18
BHARTIARTL.NS,Bharti Airtel,Telecommunications,2026-06-30,1853.0,1876.6,1843.2,1852.0,1852.0,7232961.0,test,1852.0,0.005902917142963668,-0.005200726820541754,-0.01427062844661377,-0.012861062715667634,0.0030307803938550717,0.010208348060273171,-0.03370552019200668,0.005865739734955522,0.02286534850325861,-0.006725519431065918,-0.006881637957662582,-0.01245627506185476,0.0005762212689669372,0.005352470496270634,0.0011249572027145919,0.0031448482662168598,6.391936193302672e-05,0.008024488665714258,0.01079869882380155,0.010567064334750086,60.45777426658876,0.017378895402644125,0.0039239922259931455,0.00040087877645456077,0.11976494540952164,0.9865917260299798,-0.3388596844827255,1,6,,0,4
SUNPHARMA.NS,Sun Pharmaceutical,Pharmaceuticals,2026-06-30,1885.0,1892.9,1859.4,1862.5,1862.5,2349005.0,test,1862.5,-0.006582315794836424,0.006421254940329004,0.0,-0.006207876085363876,0.002733926493124963,-0.002938976801470943,-0.002944325481798682,0.03431998667184977,0.04056092519135146,-0.002656014051170996,-0.0005886886158322707,0.003951120382498674,0.003342365291319311,0.02151908800969693,0.0019949055717207653,0.024105660211364288,0.0021744473233787616,0.005767504409573459,0.006529080339851772,0.005565021094020328,77.59245829524075,0.013081495685515504,0.008645492955971504,0.0028052496777642858,0.5418634663668791,,0.418593499848116,1,6,,0,14
BAJFINANCE.NS,Bajaj Finance,Financial Services (NBFC),2026-06-30,986.9,1010.95,977.7,1004.75,1004.75,12444148.0,test,1004.75,0.02898021872020772,0.0016816549803515691,0.0,-0.010707953546905574,-0.006107684836817484,0.018251288232509374,0.050422364404298925,0.053428951865714724,0.14617674906743017,0.022225975273271636,0.00991104106001714,0.036372844607509114,0.005284163788333369,0.07958986867094131,0.006931953362130575,0.08621433735898387,0.001551373324865989,0.018222575639990173,0.013479752103005466,0.0180080885357287,83.49008979664772,0.022741975615802226,0.02160416558399413,0.007166284349654105,0.7915776047594723,,-0.37390328722021193,1,6,,0,3
ASIANPAINT.NS,Asian Paints,Paints,2026-06-30,2658.0,2672.1,2630.3,2635.7,2635.7,1821475.0,test,2635.7,-0.008011228275008251,0.004413352818971744,0.0,-0.00839502737540124,0.0038402215787067366,0.0032057672394072223,-0.009582143393957576,-0.03257893307297599,-0.0007999059826143684,-0.005433757216708801,-0.0019207592648380495,-0.013505582786632386,-0.0033111248722319676,-0.01476985473116632,-3.9434564414428716e-05,0.015249269753930372,0.0008788542787430637,0.005941044790532063,0.008538402868709239,0.009814047055771033,39.83238399101098,0.018246711364282308,0.005942372688071108,-0.005244931750278471,-0.5873668052269289,,-0.6167403142751516,1,6,,0,2
TATASTEEL.NS,Tata Steel,Metals & Steel,2026-06-30,189.5,190.4,187.05,188.06,188.06,33681566.0,test,188.06,-0.007997288604542673,0.004546904312469284,0.0,-0.007654377910934106,-0.02756651766603882,-0.006509380185516894,-0.028414961768960523,-0.04051020408163264,-0.0885916448580013,-0.005194612837358892,-0.0057851500457248226,-0.028731090831151218,-0.0040840049995418464,-0.0431513017640085,-0.004628902787953501,-0.07616822521727684,-0.0019288228101096419,0.00853062985112091,0.012456991839023894,0.012153160559836437,36.00775191844539,0.018478145272687017,-0.021495833820447483,-0.004648991647016792,-0.7528821401187428,,-0.4615182509646977,1,6,,0,15
APOLLOHOSP.NS,Apollo Hospitals,Healthcare Services,2026-06-30,8654.5,8770.0,8649.0,8682.0,8682.0,491191.0,test,8682.0,0.003114728249229164,0.0073056508616636566,0.0021554871297398454,0.01008155775195451,-0.002417667834467533,-0.003477444343580878,0.025150549061282224,0.025211076341737026,0.0707282481346736,0.00976971388695036,0.004979311312153188,0.019277278170419576,0.002512814175331583,0.027808360265653365,0.0034062190968022744,0.06338546559552416,0.002517193660600944,0.003560878369672419,0.005885614829157383,0.00819128114059758,65.28046421486667,0.013940994504227176,0.0149855845627078,0.0007040526478336351,0.8340704404068143,1.2618334375032882,0.35094006468789196,1,6,,0,1
TCS.NS,Tata Consultancy Services,Information Technology,2026-06-30,2090.0,2104.3,2018.8,2031.5,2031.5,6843774.0,test,2031.5,-0.03216240795014941,0.0015264993662104178,0.0,-0.006803556467054242,-0.0325767929102795,0.016968992355607698,-0.013643425907943207,-0.07617098681218737,-0.16976582614737012,-0.025921095533094185,-0.0026874778832990005,-0.040228663217820704,-0.007851317146335496,-0.05428933206710984,-0.009576327061303435,-0.1035154374509284,-0.004779013658237712,0.020044239956825072,0.019962398292858823,0.024600626929874084,34.999999998799055,0.025470271790712134,-0.028183000265059058,-0.0023985389493391385,-1.0052769474117254,,1.0055191693992915,1,6,,0,16
ADANIPORTS.NS,Adani Ports & SEZ,Logistics & Ports,2026-06-30,1786.9,1816.3,1782.6,1810.2,1810.2,2229907.0,test,1810.2,0.019017387119789425,-0.011142020588863844,0.0,-0.009586419797834977,-0.02392670632173639,0.009485016516163956,0.014686098654708601,-0.006476399560922053,0.001831876871309257,0.006606165754704518,0.0029223459075985786,-0.0003755080402897404,-0.0006511925653672685,0.0013838037703743922,9.156126056894892e-05,0.02859531337381882,0.0025383099201314718,0.014147168907048143,0.012960483775140377,0.01259068443570656,49.38089622386745,0.018995533248091535,0.0069712812122760355,-0.004473313375970609,0.066474445844675,,0.3167461668097631,1,6,,0,0
INDIGO.NS,InterGlobe Aviation,Aviation,2026-06-30,5320.0,5409.5,5318.4,5368.4,5368.4,1064544.0,test,5368.4,0.009959272104675135,-0.02504496823831409,0.0,0.0455733253991122,-0.011961074231526155,-0.008312462990501642,0.08203329705325113,0.10917355371900817,0.20203309375069956,0.0019111038117562984,0.015426132702640469,0.0386765986262938,0.010329067999044076,0.100737221645262,0.009336752221654757,0.16673251868089078,0.00300909748438146,0.031218165677544474,0.02358191866645963,0.023261070919370925,81.03156500541942,0.024823836844173497,0.0441495286083195,0.010040190179591612,0.695852954644707,,-0.6277862431006065,1,6,,0,9
UPL.NS,UPL Limited,Agrochemicals,2026-06-30,574.0,579.85,564.85,571.2,571.2,3979274.0,test,571.2,0.004914014802429163,-0.03814423941447145,0.0,-0.014709237677076705,-0.014472514103595945,-0.0020293038337042962,-0.042895442359249136,-0.07174778581295194,-0.10979505961193792,-0.021867561689812853,-0.008691371437286663,-0.040967092008059036,-0.00735814937958652,-0.061976549413735205,-0.005751372533002895,-0.09259732894458839,-0.0026332842695286672,0.018219775015204526,0.012665361017342341,0.01517665166180911,29.270833329064743,0.02604791916762147,-0.026261140048716224,-0.006656286830163853,-0.9134621255101919,,-0.7035700844964494,1,6,,0,19
